key,text:es,ipa:es,audio:es,audio source:es,tags:es
left,izquierda,/isˈkjeɾ.ða/,[sound:al_es_es_left.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
"light [opposite of ""dark""]",claro,/ˈkla.ɾo/,[sound:al_es_es_light_opposite_of_dark.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
"light [opposite of ""heavy""]",ligero,/liˈxe.ɾo/,[sound:al_es_es_light_opposite_of_heavy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
light blue,azul claro,/aˈθul ˈklaɾo/,[sound:al_es_es_light_blue.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
long,largo,/ˈlaɾ.ɣo/,[sound:al_es_es_long.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
loose,suelto,/ˈswel.to/,[sound:al_es_es_loose.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
loud,ruidoso,/ruiˈðo.so/,[sound:al_es_es_loud.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
low,bajo,/ˈba.xo/,[sound:al_es_es_low.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
lunch,el almuerzo,/el alˈmweɾ.θo/,[sound:al_es_es_lunch.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
male,masculino,/mas.kuˈli.no/,[sound:al_es_es_male.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
March,marzo,/ˈmaɾ.θo/,[sound:al_es_es_march.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
marriage,el matrimonio,/el ma.tɾiˈmo.njo/,[sound:al_es_es_marriage.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
material,el material,/el ma.teɾˈjal/,[sound:al_es_es_material.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
May,mayo,/ˈma.ʝo/,[sound:al_es_es_may.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
mean,antipático,/an.tiˈpa.ti.ko/,[sound:al_es_es_mean.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
medicine,la medicina,/la me.ðiˈθi.na/,[sound:al_es_es_medicine.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
metal,el metal,/el meˈtal/,[sound:al_es_es_metal.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
milk,la leche,/la ˈle.tʃe/,[sound:al_es_es_milk.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
Monday,lunes,/ˈlu.nes/,[sound:al_es_es_monday.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
money,el dinero,/el diˈne.ɾo/,[sound:al_es_es_money.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
murder,el asesinato,/el a.se.siˈna.to/,[sound:al_es_es_murder.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
music,la música,/la ˈmu.si.ka/,[sound:al_es_es_music.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
narrow,estrecho,/esˈtɾe.tʃo/,[sound:al_es_es_narrow.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
nature,la naturaleza,/la na.tuɾaˈle.θa/,[sound:al_es_es_nature.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
new,nuevo,/ˈnwe.βo/,[sound:al_es_es_new.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
nice,amable,/aˈma.βle/,[sound:al_es_es_nice.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
nine (9),nueve,/ˈnwe.βe/,[sound:al_es_es_nine_9.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
nineteen (19),diecinueve,/dje.θiˈnwe.βe/,[sound:al_es_es_nineteen_19.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
ninety (90),noventa,/noˈβen.ta/,[sound:al_es_es_ninety_90.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
ninety-one (91),noventa y uno,/noˈβen.ta i ˈu.no/,[sound:al_es_es_ninety_one_91.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
ninety-two (92),noventa y dos,/noˈβen.ta i ˈðos/,[sound:al_es_es_ninety_two_92.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
no,no,/no/,[sound:al_es_es_no.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
November,noviembre,/noˈβjem.bɾe/,[sound:al_es_es_november.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
nuclear,nuclear,/nu.kleˈaɾ/,[sound:al_es_es_nuclear.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
October,octubre,/okˈtu.βɾe/,[sound:al_es_es_october.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
oil,el aceite,/el aˈθei.te/,[sound:al_es_es_oil.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
"old [opposite of ""new""]",viejo,/ˈbje.xo/,[sound:al_es_es_old_opposite_of_new.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
"old [opposite of ""young""]",mayor,/maˈʝoɾ/,[sound:al_es_es_old_opposite_of_young.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
one (1),uno,/ˈu.no/,[sound:al_es_es_one_1.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
"one billion (1,000,000,000)",mil millones,/ˈmil miˈʝo.nes/,[sound:al_es_es_one_billion_1_000_000_000.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
one hundred (100),cien,/ˈθjen/,[sound:al_es_es_one_hundred_100.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
one hundred eleven (111),ciento once,/ˈθjen.to ˈon.θe/,[sound:al_es_es_one_hundred_eleven_111.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
one hundred one (101),ciento uno,/ˈθjen.to ˈu.no/,[sound:al_es_es_one_hundred_one_101.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
one hundred ten (110),ciento diez,/ˈθjen.to ˈdjeθ/,[sound:al_es_es_one_hundred_ten_110.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
"one hundred thousand (100,000)",cien mil,/ˈθjen ˈmil/,[sound:al_es_es_one_hundred_thousand_100_000.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
one hundred two (102),ciento dos,/ˈθjen.to ˈðos/,[sound:al_es_es_one_hundred_two_102.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
"one million (1,000,000)",un millón,/un miˈʝon/,[sound:al_es_es_one_million_1_000_000.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
one thousand (1000),mil,/ˈmil/,[sound:al_es_es_one_thousand_1000.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
one thousand one (1001),mil uno,/ˈmil ˈu.no/,[sound:al_es_es_one_thousand_one_1001.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
orange,naranja,/naˈɾaŋxa/,[sound:al_es_es_orange.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
pain,el dolor,/el doˈloɾ/,[sound:al_es_es_pain.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
peace,la paz,/la ˈpaθ/,[sound:al_es_es_peace.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
pink,rosa,/ˈrosa/,[sound:al_es_es_pink.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
plastic,el plástico,/el ˈplas.ti.ko/,[sound:al_es_es_plastic.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
poison,el veneno,/el beˈne.no/,[sound:al_es_es_poison.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
poor,pobre,/ˈpo.βɾe/,[sound:al_es_es_poor.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
prison,la prisión,/la pɾiˈsjon/,[sound:al_es_es_prison.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
quiet,silencioso,/si.lenˈθjo.so/,[sound:al_es_es_quiet.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
race [human group],la raza,/la ˈra.θa/,[sound:al_es_es_race_ethnicity.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
race [sport],la carrera,/la kaˈre.ra/,[sound:al_es_es_race_sport.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
red,rojo,/ˈroxo/,[sound:al_es_es_red.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
relationship,la relación,/la re.laˈθjon/,[sound:al_es_es_relationship.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
religion,la religión,/la re.liˈxjon/,[sound:al_es_es_religion.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
rice,el arroz,/el aˈroθ/,[sound:al_es_es_rice.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
rich,rico,/ˈri.ko/,[sound:al_es_es_rich.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
right [direction],derecha,/deˈɾe.tʃa/,[sound:al_es_es_right.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
sad,triste,/ˈtɾis.te/,[sound:al_es_es_sad.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
salt,la sal,/la ˈsal/,[sound:al_es_es_salt.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
Saturday,sábado,/ˈsa.βa.ðo/,[sound:al_es_es_saturday.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
science,la ciencia,/la ˈθjen.θja/,[sound:al_es_es_science.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
second (2nd),segundo / segunda,/seˈɣun.do/ /seˈɣun.da/,[sound:al_es_es_second_2nd.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
September,septiembre,/sepˈtjem.bɾe/,[sound:al_es_es_september.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
seven (7),siete,/ˈsjɛ.te/,[sound:al_es_es_seven_7.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
seventeen (17),diecisiete,/dje.θiˈsjɛ.te/,[sound:al_es_es_seventeen_17.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
seventy (70),setenta,/seˈten.ta/,[sound:al_es_es_seventy_70.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
seventy-one (71),setenta y uno,/seˈten.ta i ˈu.no/,[sound:al_es_es_seventy_one_71.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
seventy-two (72),setenta y dos,/seˈten.ta i ˈðos/,[sound:al_es_es_seventy_two_72.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
sex [gender],el género,/el ˈxe.ne.ɾo/,[sound:al_es_es_sex_gender.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
sex [the act],el sexo,/el ˈsek.so/,[sound:al_es_es_sex_the_act.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
shallow,poco profundo,/ˈpo.ko pɾoˈfun.do/,[sound:al_es_es_shallow.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
she,ella,/ˈe.ʝa/,[sound:al_es_es_she.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
"short [opposite of ""long""]",corto,/ˈkoɾ.to/,[sound:al_es_es_short_opposite_of_long.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
"short [opposite of ""tall""]",bajo,/ˈba.xo/,[sound:al_es_es_low.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
sick,enfermo,/enˈfeɾ.mo/,[sound:al_es_es_sick.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
silver,la plata,/la ˈpla.ta/,[sound:al_es_es_silver.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
