key,text:ta,ipa:ta,audio:ta,audio source:ta,tags:ta
cheap,மலிவு,/maliʋu/,[sound:al_ta_in_cheap.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
clay,களிமண்,/kaɭimaɳ/,[sound:al_ta_in_clay.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
clean,சுத்தமான,/suttamaːna/,[sound:al_ta_in_clean.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
coffee,காபி,/kaːpi/,[sound:al_ta_in_coffee.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
cold,குளிர்ச்சி,/kuɭirtʃi/,[sound:al_ta_in_cold.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
cool,குளிர்ந்த,/kuɭirnda/,[sound:al_ta_in_cool.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
copper,செம்பு,/sembu/,[sound:al_ta_in_copper.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
curved,வளைந்த,/ʋaɭainda/,[sound:al_ta_in_curved.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
dark,இருண்ட,/iruɳɖa/,[sound:al_ta_in_dark.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
dark blue,அடர் நீலம்,/aɖar niːlam/,[sound:al_ta_in_dark_blue.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
dead,இறந்த,/iɾanda/,[sound:al_ta_in_dead.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
deaf,செவிடு,/seʋiɖu/,[sound:al_ta_in_deaf.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
death,மரணம்,/maɾaɳam/,[sound:al_ta_in_death.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
December,டிசம்பர்,/ɖisambar/,[sound:al_ta_in_december.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
deep,ஆழமான,/aːɻamaːna/,[sound:al_ta_in_deep.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
diamond,வைரம்,/ʋaiɾam/,[sound:al_ta_in_diamond.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
dinner,இரவு உணவு,/iraʋu uɳaʋu/,[sound:al_ta_in_dinner.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
dirty,அழுக்கு,/aɻukku/,[sound:al_ta_in_dirty.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
disease,நோய்,/noːj/,[sound:al_ta_in_disease.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
down,கீழே,/kiːɻeː/,[sound:al_ta_in_down.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
dry,உலர்ந்த,/ularnda/,[sound:al_ta_in_dry.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
dust,தூசி,/tuːsi/,[sound:al_ta_in_dust.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
Earth,பூமி,/puːmi/,[sound:al_ta_in_earth.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
eight (8),எட்டு,/eʈʈu/,[sound:al_ta_in_eight_8.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
eighteen (18),பதினெட்டு,/padinettu/,[sound:al_ta_in_eighteen_18.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
eighty (80),எண்பது,/eɳbadu/,[sound:al_ta_in_eighty_80.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
eighty-one (81),எண்பத்தி ஒன்று,/eɳbatti onɖɾu/,[sound:al_ta_in_eighty_one_81.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
eighty-two (82),எண்பத்தி இரண்டு,/eɳbatti iraɳɖu/,[sound:al_ta_in_eighty_two_82.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
eleven (11),பதினொன்று,/padinonɖɾu/,[sound:al_ta_in_eleven_11.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
energy,ஆற்றல்,/aːttɾal/,[sound:al_ta_in_energy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
exercise,உடற்பயிற்சி,/uɖaɾpajitsi/,[sound:al_ta_in_exercise.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
expensive,விலை உயர்ந்த,/ʋilai ujarndaʔ/,[sound:al_ta_in_expensive.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
famous,புகழ்பெற்ற,/puɡaɻpetɾa/,[sound:al_ta_in_famous.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
fast,வேகமான,/ʋeːɡamaːna/,[sound:al_ta_in_fast.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
February,பிப்ரவரி,/pibraʋari/,[sound:al_ta_in_february.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
female,பெண்,/peɳ/,[sound:al_ta_in_female.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
fifteen (15),பதினைந்து,/padinaindu/,[sound:al_ta_in_fifteen_15.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
fifth (5th),ஐந்தாவது,/aindaːʋadu/,[sound:al_ta_in_fifth_5th.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
fifty (50),ஐம்பது,/aimbadu/,[sound:al_ta_in_fifty_50.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
fifty-one (51),ஐம்பத்தி ஒன்று,/aimbatti onɖɾu/,[sound:al_ta_in_fifty_one_51.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
fifty-two (52),ஐம்பத்தி இரண்டு,/aimbatti iraɳɖu/,[sound:al_ta_in_fifty_two_52.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
first (1st),முதல்,/mudal/,[sound:al_ta_in_first_1st.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
five (5),ஐந்து,/aindu/,[sound:al_ta_in_five_5.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
flat,தட்டையான,/taʈʈaijaːna/,[sound:al_ta_in_flat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
food,உணவு,/uɳaʋu/,[sound:al_ta_in_food.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
forty (40),நாற்பது,/naːɾbadu/,[sound:al_ta_in_forty_40.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
forty-one (41),நாற்பத்தி ஒன்று,/naːɾbatti onɖɾu/,[sound:al_ta_in_forty_one_41.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
forty-two (42),நாற்பத்தி இரண்டு,/naːɾbatti iraɳɖu/,[sound:al_ta_in_forty_two_42.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
four (4),நான்கு,/naːŋɡu/,[sound:al_ta_in_four_4.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
fourteen (14),பதினான்கு,/padinaːŋɡu/,[sound:al_ta_in_fourteen_14.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
fourth (4th),நான்காவது,/naːŋɡaːʋadu/,[sound:al_ta_in_fourth_4th.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
Friday,வெள்ளி,/ʋeɭɭi/,[sound:al_ta_in_friday.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
glass [material],கண்ணாடி,/kaɳɳaːɖi/,[sound:al_ta_in_glass.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
God,கடவுள்,/kaɖaʋuɭ/,[sound:al_ta_in_god.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
gold,தங்கம்,/taŋɡam/,[sound:al_ta_in_gold.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
good,நல்ல,/nalla/,[sound:al_ta_in_good.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
gray,சாம்பல்,/saːmbal/,[sound:al_ta_in_gray.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
green,பச்சை,/pattʃai/,[sound:al_ta_in_green.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
happy,மகிழ்ச்சி,/maɡiɻtʃi/,[sound:al_ta_in_happy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
hard,கடினமான,/kaɖinamaːna/,[sound:al_ta_in_hard.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
he,அவன்,/aʋan/,[sound:al_ta_in_he.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
healthy,ஆரோக்கியமான,/aːroːkkijamaːna/,[sound:al_ta_in_healthy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
heaven,சொர்க்கம்,/sorkkam/,[sound:al_ta_in_heaven.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
heavy,கனமான,/kanamaːna/,[sound:al_ta_in_heavy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
hell,நரகம்,/naɾaɡam/,[sound:al_ta_in_hell.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
high,உயரமான,/ujaɾamaːna/,[sound:al_ta_in_high.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
hot,சூடான,/suːɖaːna/,[sound:al_ta_in_hot.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
I,நான்,/naːn/,[sound:al_ta_in_i.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
it,அது,/adu/,[sound:al_ta_in_it.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
January,ஜனவரி,/d͡ʒanaʋari/,[sound:al_ta_in_january.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
juice,சாறு,/saːɾu/,[sound:al_ta_in_juice.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
July,ஜூலை,/d͡ʒuːlai/,[sound:al_ta_in_july.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
June,ஜூன்,/d͡ʒuːn/,[sound:al_ta_in_june.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
left,இடது,/iɖadu/,[sound:al_ta_in_left.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
"light [opposite of ""dark""]",ஒளிவட்டம்,/oɭiʋaʈʈam/,[sound:al_ta_in_light_opposite_of_dark.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"light [opposite of ""heavy""]",இலேசான,/ileːsaːna/,[sound:al_ta_in_light_opposite_of_heavy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
light blue,வெளிர் நீலம்,/ʋeɭir niːlam/,[sound:al_ta_in_light_blue.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
long,நீண்ட,/niːɳɖa/,[sound:al_ta_in_long.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
loose,தளர்வான,/taɭarʋaːna/,[sound:al_ta_in_loose.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
loud,சத்தமான,/sattamaːna/,[sound:al_ta_in_loud.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
low,தாழ்வான,/taːɻʋaːna/,[sound:al_ta_in_low.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
lunch,மதிய உணவு,/madija uɳaʋu/,[sound:al_ta_in_lunch.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
male,ஆண்,/aːɳ/,[sound:al_ta_in_male.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
March,மார்ச்,/maːrtʃ/,[sound:al_ta_in_march.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
marriage,திருமணம்,/tirumaɳam/,[sound:al_ta_in_marriage.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
material,பொருள்,/poɾuɭ/,[sound:al_ta_in_material.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
May,மே,/meː/,[sound:al_ta_in_may.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
mean,சராசரி,/saɾaːsari/,[sound:al_ta_in_mean.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
medicine,மருந்து,/marundu/,[sound:al_ta_in_medicine.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
metal,உலோகம்,/uloːɡam/,[sound:al_ta_in_metal.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
milk,பால்,/paːl/,[sound:al_ta_in_milk.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
Monday,திங்கள்,/tiŋɡaɭ/,[sound:al_ta_in_monday.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
money,பணம்,/paɳam/,[sound:al_ta_in_money.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
murder,கொலை,/kolai/,[sound:al_ta_in_murder.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
music,இசை,/isai/,[sound:al_ta_in_music.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
narrow,குறுகிய,/kuɾuɡija/,[sound:al_ta_in_narrow.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
nature,இயற்கை,/ijaɾkai/,[sound:al_ta_in_nature.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
new,புதிய,/pudija/,[sound:al_ta_in_new.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
nice,நல்ல,/nalla/,[sound:al_ta_in_nice.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
nine (9),ஒன்பது,/onbadu/,[sound:al_ta_in_nine_9.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
nineteen (19),பத்தொன்பது,/pattonbadu/,[sound:al_ta_in_nineteen_19.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
ninety (90),தொண்ணூறு,/toɳɳuːɾu/,[sound:al_ta_in_ninety_90.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
ninety-one (91),தொண்ணூற்று ஒன்று,/toɳɳuːttu onɖɾu/,[sound:al_ta_in_ninety_one_91.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
ninety-two (92),தொண்ணூற்று இரண்டு,/toɳɳuːttu iraɳɖu/,[sound:al_ta_in_ninety_two_92.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
no,இல்லை,/illai/,[sound:al_ta_in_no.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
November,நவம்பர்,/naʋambar/,[sound:al_ta_in_november.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
nuclear,அணுசக்தி,/aɳusaɡti/,[sound:al_ta_in_nuclear.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
October,அக்டோபர்,/agɖoːbar/,[sound:al_ta_in_october.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
oil,எண்ணெய்,/eɳɳej/,[sound:al_ta_in_oil.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"old [opposite of ""new""]",பழைய,/paɻaija/,[sound:al_ta_in_old_opposite_of_new.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"old [opposite of ""young""]",முதியவர்,/mudijaʋar/,[sound:al_ta_in_old_opposite_of_young.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
one (1),ஒன்று,/onɖɾu/,[sound:al_ta_in_one_1.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"one billion (1,000,000,000)",ஒரு பில்லியன்,/oɾu billijaːn/,[sound:al_ta_in_one_billion_1_000_000_000.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
one hundred (100),நூறு,/nuːɾu/,[sound:al_ta_in_one_hundred_100.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
one hundred eleven (111),நூற்று பதினொன்று,/nuːttu padinonɖɾu/,[sound:al_ta_in_one_hundred_eleven_111.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
one hundred one (101),நூற்று ஒன்று,/nuːttu onɖɾu/,[sound:al_ta_in_one_hundred_one_101.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
one hundred ten (110),நூற்று பத்து,/nuːttu pattu/,[sound:al_ta_in_one_hundred_ten_110.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"one hundred thousand (100,000)",ஒரு இலட்சம்,/oɾu ilaʈʈsam/,[sound:al_ta_in_one_hundred_thousand_100_000.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
one hundred two (102),நூற்று இரண்டு,/nuːttu iraɳɖu/,[sound:al_ta_in_one_hundred_two_102.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
"one million (1,000,000)",ஒரு மில்லியன்,/oɾu millijaːn/,[sound:al_ta_in_one_million_1_000_000.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
one thousand (1000),ஆயிரம்,/aːjiɾam/,[sound:al_ta_in_one_thousand_1000.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
one thousand one (1001),ஆயிரத்து ஒன்று,/aːjiɾattu onɖɾu/,[sound:al_ta_in_one_thousand_one_1001.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
orange,ஆரஞ்சு,/aːɾan͡ʒu/,[sound:al_ta_in_orange.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
pain,வலி,/ʋali/,[sound:al_ta_in_pain.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
peace,அமைதி,/amaidi/,[sound:al_ta_in_peace.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
pink,இளஞ்சிவப்பு,/iɭan͡ʒsiʋappu/,[sound:al_ta_in_pink.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
plastic,பிளாஸ்டிக்,/pilaːsɖik/,[sound:al_ta_in_plastic.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
poison,விஷம்,/ʋiʂam/,[sound:al_ta_in_poison.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
poor,ஏழை,/eːɻai/,[sound:al_ta_in_poor.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
prison,சிறை,/siɾai/,[sound:al_ta_in_prison.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
quiet,அமைதியான,/amaidijɑːnɑ/,[sound:al_ta_in_quiet.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
race [ethnicity],இனம்,/inam/,[sound:al_ta_in_race_ethnicity.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
race [sport],பந்தயம்,/pandajam/,[sound:al_ta_in_race_sport.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
red,சிவப்பு,/siʋappu/,[sound:al_ta_in_red.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
relationship,உறவு,/uɾaʋu/,[sound:al_ta_in_relationship.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
religion,மதம்,/madam/,[sound:al_ta_in_religion.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
rice,அரிசி,/arisi/,[sound:al_ta_in_rice.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
rich,பணக்காரர்,/paɳakkaːɾar/,[sound:al_ta_in_rich.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
right [direction],வலது,/ʋaladu/,[sound:al_ta_in_right.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
sad,சோகமான,/soːɡamaːna/,[sound:al_ta_in_sad.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
salt,உப்பு,/uppu/,[sound:al_ta_in_salt.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
Saturday,சனி,/sani/,[sound:al_ta_in_saturday.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
science,அறிவியல்,/aɾiʋijaːl/,[sound:al_ta_in_science.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
second (2nd),இரண்டாவது,/iraɳɖaːʋadu/,[sound:al_ta_in_second_2nd.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
September,செப்டம்பர்,/sepɖambar/,[sound:al_ta_in_september.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
seven (7),ஏழு,/eːɻu/,[sound:al_ta_in_seven_7.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
seventeen (17),பதினேழு,/padineːɻu/,[sound:al_ta_in_seventeen_17.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
seventy (70),எழுபது,/eɻubadu/,[sound:al_ta_in_seventy_70.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
seventy-one (71),எழுபத்தி ஒன்று,/eɻubatti onɖɾu/,[sound:al_ta_in_seventy_one_71.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
seventy-two (72),எழுபத்தி இரண்டு,/eɻubatti iraɳɖu/,[sound:al_ta_in_seventy_two_72.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sex [gender],பாலினம்,/paːlinam/,[sound:al_ta_in_sex_gender.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sex [the act],உடலுறவு,/uɖaluɾaʋu/,[sound:al_ta_in_sex_the_act.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
shallow,ஆழமற்ற,/aːɻamatɾa/,[sound:al_ta_in_shallow.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
she,அவள்,/aʋaɭ/,[sound:al_ta_in_she.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
"short [opposite of ""long""]",குறுகிய,/kuɾuɡija/,[sound:al_ta_in_short_opposite_of_long.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"short [opposite of ""tall""]",குட்டையான,/kuʈʈaijaːna/,[sound:al_ta_in_short_opposite_of_tall.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sick,நோயுற்ற,/noːjutɾa/,[sound:al_ta_in_sick.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
